feature,importance,rank,kept
MIN_HIGH_60,0.00014665880948472272,506,True
MED_LOGV_3,0.0001447417003115183,507,True
Q20_HLR_3,0.00014364388678037794,508,True
IDXMAX_HLR_30,0.00014156700122396613,509,True
vol_gk_lag_1_z,0.0001354806295668917,510,True
vol_gk_ratio_lag_5_z,0.00013345762047721458,511,True
STD_HIGH_3,0.00013274784113272565,512,True
MIN_RETID_60,0.00013006084406328775,513,True
smart_money_diff,0.00010451210926687153,514,True
MAX_HLR_5,0.00010386287501256162,515,True
AMIHUD_INTRADAY,0.0,516,False
AMP1,0.0,517,False
AMP20,0.0,518,False
ATRN,0.0,519,False
BBW_PCTILE250,0.0,520,False
BIAS20,0.0,521,False
BIAS60,0.0,522,False
BODY_STRENGTH,0.0,523,False
BOLL_SQUEEZE,0.0,524,False
CAL_DOW_3,0.0,525,False
CAL_MONTH_1,0.0,526,False
CAL_MONTH_10,0.0,527,False
CAL_MONTH_3,0.0,528,False
CAL_MONTH_4,0.0,529,False
CAL_MONTH_5,0.0,530,False
CAL_MONTH_6,0.0,531,False
CAL_MONTH_7,0.0,532,False
CAL_MONTH_8,0.0,533,False
CAL_MONTH_9,0.0,534,False
CLOSE_VS_HIGH,0.0,535,False
CNTD20,0.0,536,False
CONSEC_LIMITUP,0.0,537,False
CONSEC_SUSP_GAP,0.0,538,False
CORR_CLOSE_A_10,0.0,539,False
CORR_CLOSE_A_3,0.0,540,False
CORR_CLOSE_A_30,0.0,541,False
CORR_CLOSE_A_60,0.0,542,False
CORR_CLOSE_RIDX_3,0.0,543,False
CORR_CLOSE_RIDX_5,0.0,544,False
CORR_CLOSE_V_3,0.0,545,False
CORR_CLOSE_V_30,0.0,546,False
CORR_CLOSE_V_5,0.0,547,False
CORR_CLOSE_V_60,0.0,548,False
CORR_HLR_V_3,0.0,549,False
CORR_HLR_V_60,0.0,550,False
CORR_R_A_10,0.0,551,False
CORR_R_A_20,0.0,552,False
CORR_R_A_3,0.0,553,False
CORR_R_A_30,0.0,554,False
CORR_R_A_5,0.0,555,False
CORR_R_RIDX_3,0.0,556,False
CORR_R_RIDX_30,0.0,557,False
CORR_R_RIDX_5,0.0,558,False
CORR_R_RIDX_60,0.0,559,False
CORR_R_V_10,0.0,560,False
CORR_R_V_20,0.0,561,False
CORR_R_V_3,0.0,562,False
CORR_R_V_30,0.0,563,False
CORR_VWAP_V_20,0.0,564,False
CORR_VWAP_V_3,0.0,565,False
CORR_VWAP_V_30,0.0,566,False
CORR_VWAP_V_5,0.0,567,False
CORR_VWAP_V_60,0.0,568,False
COUNT_RETID_10,0.0,569,False
COUNT_RETID_20,0.0,570,False
COUNT_RETID_3,0.0,571,False
COUNT_RETID_30,0.0,572,False
COUNT_RETID_5,0.0,573,False
COUNT_RETID_60,0.0,574,False
COUNT_RETON_10,0.0,575,False
COUNT_RETON_20,0.0,576,False
COUNT_RETON_3,0.0,577,False
COUNT_RETON_5,0.0,578,False
COUNT_RETON_60,0.0,579,False
COUNT_R_20,0.0,580,False
COUNT_R_3,0.0,581,False
COUNT_R_30,0.0,582,False
