,selection_rate,sign_consistency,mean_abs_coef,std_abs_coef,strength_stability
volume_lag_25_z,0.25,1.0,0.0008485312109507582,0.001944386683596643,0.43640044344532414
intraday_pos_lag_3_z,0.25,0.3333333333333333,0.0025358295176190287,0.005849837983246431,0.4334871367175442
amplitude_lag_1,0.25,1.0,0.0018204618107094117,0.00432030010977464,0.4213739241379629
volume_spike_z,0.25,1.0,0.005315931467540151,0.013008243076914955,0.4086586817380477
confirmation_score,0.25,1.0,0.0019702485436453587,0.004909918114193179,0.40127930809068474
intraday_pos_lag_2_z,0.25,1.0,0.003179129948830952,0.007933661012396414,0.4007141146897421
market_sync_score,0.25,1.0,0.0037037750090590095,0.009277043260451676,0.3992408901280344
macd_signal_convergence_trend,0.25,1.0,0.0018469422254848112,0.00502192887815319,0.3677754644275294
dist_to_high_60_z,0.25,1.0,0.001315703701163329,0.0038652197627008222,0.34039557436288725
return_lag_2_rankpct,0.25,1.0,0.0011802812768830465,0.0035162387167687807,0.3356658554649146
rsi_oversold_24,0.25,1.0,0.004958148110562914,0.015906014998523055,0.311715292046644
distance_to_support,0.25,1.0,0.005983660666716819,0.019315271188666355,0.30978910978106583
volume_lag_30_rankpct,0.16666666666666666,1.0,0.0010114846301403203,0.0023625591531910013,0.4281309226793979
daily_return_z,0.16666666666666666,1.0,0.003167064013682642,0.007399526908757219,0.42800898661973563
pct_change_z,0.16666666666666666,1.0,0.0027147710681143904,0.006353974551344463,0.4272555777768989
vol_gk_ratio_lag_3,0.16666666666666666,1.0,0.0024100171963680876,0.005642318640374416,0.4271324166492239
obv_trend_z,0.16666666666666666,1.0,0.000111427826572223,0.0002622893801208721,0.4248278238366844
efficiency_ratio_lag_1,0.16666666666666666,0.0,0.0005264935813029892,0.0012654094037781454,0.41606580426147627
macd_robust_rankpct,0.16666666666666666,1.0,0.0026699392062618735,0.006435632330286559,0.41486820085991294
amplitude_lag_3,0.16666666666666666,1.0,0.0013446707142153152,0.0032447156340654976,0.4144186627937244
obv,0.16666666666666666,1.0,0.002532457908259034,0.0061285440237335,0.4132234179034688
illiq_lag_5_z,0.16666666666666666,1.0,0.0009497457422241052,0.002336711008185298,0.40644552916352406
divergence_strength,0.16666666666666666,1.0,0.009712462846204374,0.024144301862132476,0.402267288640772
rsi_robust_rankpct,0.16666666666666666,1.0,0.0028080117607402685,0.007069863444588574,0.39718048060597
price_vs_ma20_rankpct,0.16666666666666666,1.0,0.002306806415687489,0.005810129829082234,0.39703181917569497
intraday_pos_lag_1_z,0.16666666666666666,1.0,0.0031271576083125273,0.007922180685180151,0.3947344465599519
volume_lag_15_z,0.16666666666666666,1.0,0.0008032381281664218,0.00206524556103615,0.38893105174545484
volume_consistency_rankpct,0.16666666666666666,1.0,0.003752270412021813,0.009739183134181689,0.38527568075524116
rsi_24,0.16666666666666666,1.0,0.0030534810994787055,0.008022666372299002,0.3806067656037515
distance_to_support_z,0.16666666666666666,1.0,0.004493639193285965,0.012083768513344589,0.3718739885097484
open_lag_30_rankpct,0.16666666666666666,1.0,0.0007432717876886106,0.0020009460714047705,0.37146017991719005
smart_money_diff_lag_3_z,0.16666666666666666,1.0,0.0008697858894029122,0.002342760846557869,0.3712653345222395
rsi_robust,0.16666666666666666,1.0,0.0034936597242368698,0.009486131273817642,0.3682913111143217
volatility_25d_rankpct,0.16666666666666666,1.0,0.000390248494544233,0.0010789955716748747,0.36167756827627046
rsi_overbought_6_z,0.16666666666666666,1.0,0.0008648100350554258,0.002411467273874553,0.3586239981046553
ma_arrangement_rankpct,0.16666666666666666,1.0,0.0009316293919780526,0.0026382369795884667,0.35312574237488537
support_resistance_ratio_lag_1,0.16666666666666666,1.0,0.005336595999111624,0.015627823405822392,0.34148043912010106
rsi_24_rankpct,0.16666666666666666,1.0,0.004315103773247632,0.013179663046682805,0.32740622866938185
volume_lag_10_z,0.16666666666666666,1.0,0.0014378444781630209,0.004450105640551211,0.32310344839025495
price_trend_5,0.16666666666666666,1.0,0.0013649437862321857,0.004338062332244056,0.31464365463050126
smart_money_diff_lag_5_z,0.16666666666666666,1.0,0.0009259120803384696,0.0029787282808260355,0.31084140379588554
smart_money_diff_lag_1,0.16666666666666666,1.0,0.002028864896738179,0.006685741179384906,0.3034614775388054
volume_ma_ratio_z,0.16666666666666666,1.0,0.0019952558465199696,0.006869802415366264,0.29043860738367283
support_resistance_ratio_z,0.08333333333333333,1.0,0.008919614098450516,0.03089845060484792,0.28867512525210703
distance_to_resistance,0.08333333333333333,1.0,0.003615611522508298,0.012524846714831669,0.2886751115466159
volume_ma20_z,0.08333333333333333,1.0,0.0027901508079749577,0.00966536692038396,0.2886751047278522
price_vs_ma60,0.08333333333333333,1.0,0.0026889566398777243,0.009314820039235814,0.28867510360386156
rsi_oversold_14_rankpct,0.08333333333333333,1.0,0.0022917305883436434,0.007938788632541811,0.2886750982321954
volatility_3d,0.08333333333333333,1.0,0.0019514796152303362,0.006760124687027811,0.28867509189217827
rsi_14_rankpct,0.08333333333333333,1.0,0.0018588532073821641,0.00643925739799655,0.288675089764312
vol_gk_lag_1,0.08333333333333333,1.0,0.001451981381299923,0.0050298120481110115,0.2886750772019855
volume_lag_5_rankpct,0.08333333333333333,1.0,0.0013522401870215168,0.004684298415915416,0.2886750729686932
volume_trend_5,0.08333333333333333,1.0,0.0011314166507595447,0.003919343247289888,0.288675060940857
