column,source,cn_name,status
IDXMAX_CLOSE_3,s2,"IdxMax(C̃,3)/3","dropped_dedup(anchor=IDXMAX_CF_3, rho=1.000000)"
IDXMAX_CLOSE_30,s2,"IdxMax(C̃,30)/30","dropped_dedup(anchor=IDXMAX_CF_30, rho=1.000000)"
IDXMAX_CLOSE_5,s2,"IdxMax(C̃,5)/5","dropped_dedup(anchor=IDXMAX_CF_5, rho=1.000000)"
IDXMAX_CLOSE_60,s2,"IdxMax(C̃,60)/60","dropped_dedup(anchor=IDXMAX_CF_60, rho=1.000000)"
IDXMAX_HIGH_10,s2,"IdxMax(H̃,10)/10",kept
IDXMAX_HIGH_20,s2,"IdxMax(H̃,20)/20",kept
IDXMAX_HIGH_3,s2,"IdxMax(H̃,3)/3",kept
IDXMAX_HIGH_30,s2,"IdxMax(H̃,30)/30",kept
IDXMAX_HIGH_5,s2,"IdxMax(H̃,5)/5",kept
IDXMAX_HIGH_60,s2,"IdxMax(H̃,60)/60",kept
IDXMAX_HLR_10,s2,"IdxMax(H/L,10)/10",kept
IDXMAX_HLR_20,s2,"IdxMax(H/L,20)/20",kept
IDXMAX_HLR_3,s2,"IdxMax(H/L,3)/3",kept
IDXMAX_HLR_30,s2,"IdxMax(H/L,30)/30",kept
IDXMAX_HLR_5,s2,"IdxMax(H/L,5)/5",kept
IDXMAX_HLR_60,s2,"IdxMax(H/L,60)/60",kept
IDXMAX_LOGV_10,s2,"IdxMax(log(V+1),10)/10",kept
IDXMAX_LOGV_20,s2,"IdxMax(log(V+1),20)/20",kept
IDXMAX_LOGV_3,s2,"IdxMax(log(V+1),3)/3",kept
IDXMAX_LOGV_30,s2,"IdxMax(log(V+1),30)/30",kept
IDXMAX_LOGV_5,s2,"IdxMax(log(V+1),5)/5",kept
IDXMAX_LOGV_60,s2,"IdxMax(log(V+1),60)/60",kept
IDXMAX_LOW_10,s2,"IdxMax(L̃,10)/10",kept
IDXMAX_LOW_20,s2,"IdxMax(L̃,20)/20",kept
IDXMAX_LOW_3,s2,"IdxMax(L̃,3)/3",kept
IDXMAX_LOW_30,s2,"IdxMax(L̃,30)/30",kept
IDXMAX_LOW_5,s2,"IdxMax(L̃,5)/5",kept
IDXMAX_LOW_60,s2,"IdxMax(L̃,60)/60",kept
IDXMAX_OPEN_10,s2,"IdxMax(Õ,10)/10",kept
IDXMAX_OPEN_20,s2,"IdxMax(Õ,20)/20",kept
IDXMAX_OPEN_3,s2,"IdxMax(Õ,3)/3",kept
IDXMAX_OPEN_30,s2,"IdxMax(Õ,30)/30",kept
IDXMAX_OPEN_5,s2,"IdxMax(Õ,5)/5",kept
